"name","place_id"
"Doughnut Shack","ChIJ3W_-3dkZ2jERogp6uEdMgM8"
"Ju Seng Huat F&B Pte Ltd","ChIJ4ZwPEdQZ2jERNwRe4eKSAIk"
"Joe & Dough Kallang Leisure Park","ChIJm-Dw104Y2jERlU1NCPNneyU"
"Ah Xiao Teochew Duck Rice (亞笑潮洲卤鸭)","ChIJ42pf9bMZ2jERJtNu6RN5ZQk"
"Saizeriya Clementi","ChIJh2k96o0a2jERSkqPTsp1nqM"
"VENUE By Sebastian","ChIJi5p3pRMZ2jERvWxwP8xvHZ0"
"Romankan Yokohama","ChIJE76FM5EZ2jERX71SdYRor14"
"Rice & Fries","ChIJzWsddwcY2jER29oCOK-8WnU"
"KFC","ChIJW2NKp4AF2jERYdukVAKLQNk"
"Fish Tales @ Simpang Bedok","ChIJU041kTE92jERqaLh-a6_0KY"
"Liquids Cafe","ChIJXRkkgmEQ2jER_oWc-3nC51E"
"Kian Hock Restaurant","ChIJGz8CirMZ2jERVTyE_RLHPCI"
"La'Bonnie Patisserie","ChIJxXOTJRIY2jER3bqC0OLxHQI"
"O’Coffee Club Xpress","ChIJK_bLCsc82jERb2u0KhCxU_w"
"Rice Garden","ChIJZwkQFh0X2jERtYOqi1CBWlI"
"Starbucks","ChIJt7a1YKgZ2jERzg8I3Z03fag"
"Tony Roma's","ChIJ-ZtvtowZ2jERselcP2aUtko"
"566 Seafood Restaurant at Mandai Estate","ChIJk8R9FwERBBARPDJzTp0otFs"
"Cozy Wine","ChIJQS-Dp3AZ2jERarOS4PggO6M"
"Prime Supermarket","ChIJ_W5cgnUT2jER9rVF2nu5bQ0"
"HaveFun Karaoke","ChIJK8bxTaUZ2jERuAr7EahDYWc"
"Punggol East Container Park","ChIJT15zrvk92jER4tpPBaUVzDA"
"Alt. Pizza - Katong","ChIJA13a7XIY2jERsUfU600nuPA"
"Saizeriya Hougang 1","ChIJgZVN1UQW2jERd9rgcWf1tiE"
"Kenny Rogers","ChIJu3mTX4MZ2jER_M7gtNMSWxo"
